Altium Designer Pick and Place Locations
W:\PEM\Engineering\Electrical\PCBs\Design Schematic & PCB Files\002-0081 Rev -\Project Outputs for 002-0081 Rev -\Pick Place for 002-0081 Rev -.csv

========================================================================================================================
File Design Information:

Date:       02/07/19
Time:       11:57
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)"
"D10","BottomLayer","502.480","1715.000","180","659.961","1715.000","659.961","1715.000"
"R9","BottomLayer","195.000","1005.000","270","195.000","1005.000","195.000","1034.527"
"D9","BottomLayer","502.480","2265.000","360","345.000","2265.000","345.000","2265.000"
"D14","BottomLayer","1038.661","1620.000","90","897.323","1530.000","897.323","1710.000"
"D13","BottomLayer","1643.661","1360.000","90","1502.323","1270.000","1502.323","1450.000"
"D12","BottomLayer","1646.339","2350.000","90","1505.000","2260.000","1505.000","2440.000"
"D1","BottomLayer","191.028","1361.929","90","191.028","1361.929","191.028","1295.000"
"U5","BottomLayer","1325.000","842.598","180","1350.591","805.197","1299.409","880.000"
"U4","BottomLayer","989.409","752.402","180","1015.000","715.000","963.819","789.803"
"U2","BottomLayer","405.000","1043.976","0","315.000","1185.315","315.000","1185.315"
"R10","BottomLayer","195.000","870.000","270","195.000","870.000","195.000","899.528"
"Q8","BottomLayer","1038.661","1980.000","90","897.323","1890.000","897.323","1890.000"
"Q7","BottomLayer","1643.661","1715.000","90","1502.323","1625.000","1502.323","1625.000"
"Q6","BottomLayer","1646.339","2045.000","90","1505.000","1955.000","1505.000","1955.000"
"Q3","BottomLayer","486.339","1980.000","90","345.000","1890.000","345.000","1890.000"
"D11","BottomLayer","130.000","1965.709","270","130.000","2010.000","130.000","2010.000"
"C6","BottomLayer","157.564","1220.000","0","124.099","1220.000","124.099","1220.000"
"C13","BottomLayer","1300.000","711.535","90","1300.000","678.071","1300.000","678.071"
"C8","BottomLayer","963.819","616.535","90","963.819","583.071","963.819","583.071"
"C7","BottomLayer","157.564","1152.873","0","124.099","1152.873","124.099","1152.873"
"C5","BottomLayer","331.339","626.850","90","331.339","593.386","331.339","593.386"
"C4","BottomLayer","405.000","626.850","90","405.000","593.386","405.000","593.386"
"C3","BottomLayer","210.000","1976.535","270","210.000","2010.000","210.000","2010.000"
"Q5","TopLayer","597.000","795.500","180","634.000","835.000","634.000","835.000"
"D8","TopLayer","535.315","2000.000","180","535.315","2000.000","623.898","2000.000"
"C1","TopLayer","538.465","1900.000","360","505.000","1900.000","505.000","1900.000"
"Q4","TopLayer","447.000","795.500","180","484.000","835.000","484.000","835.000"
"D5","TopLayer","750.000","2292.520","90","750.000","2135.039","750.000","2135.039"
"D4","TopLayer","260.000","2292.520","90","260.000","2135.039","260.000","2135.039"
"D7","TopLayer","1213.661","1435.000","90","1355.000","1345.000","1355.000","1525.000"
"D6","TopLayer","1216.339","2360.000","90","1357.677","2270.000","1357.677","2450.000"
"R1","TopLayer","530.000","1130.315","180","530.000","1130.315","565.433","1130.315"
"U3","TopLayer","670.000","515.315","0","670.000","515.315","610.945","554.685"
"U1","TopLayer","529.999","1297.638","360","492.598","1255.315","492.598","1255.315"
"R21","TopLayer","445.000","575.000","90","445.000","575.000","445.000","555.315"
"R20","TopLayer","1511.181","910.000","90","1511.181","910.000","1511.181","874.567"
"R19","TopLayer","780.000","574.370","90","780.000","574.370","780.000","554.685"
"R18","TopLayer","1511.181","635.000","270","1511.181","635.000","1511.181","670.433"
"R17","TopLayer","1186.181","910.000","90","1186.181","910.000","1186.181","874.567"
"R16","TopLayer","1185.000","629.567","270","1185.000","629.567","1185.000","665.000"
"R15","TopLayer","876.181","910.000","90","876.181","910.000","876.181","874.567"
"R14","TopLayer","670.000","630.000","90","670.000","630.000","670.000","610.315"
"R13","TopLayer","623.583","630.000","90","623.583","630.000","623.583","610.315"
"R12","TopLayer","876.181","625.000","270","876.181","625.000","876.181","660.433"
"R11","TopLayer","494.134","575.000","90","494.134","575.000","494.134","555.315"
"R8","TopLayer","1600.000","1990.000","90","1600.000","1990.000","1600.000","1952.599"
"R7","TopLayer","410.000","1305.748","90","410.000","1305.748","410.000","1270.315"
"R6","TopLayer","335.000","789.567","270","335.000","789.567","335.000","825.000"
"R5","TopLayer","705.433","825.000","90","705.433","825.000","705.433","789.567"
"R4","TopLayer","410.000","1165.315","90","410.000","1165.315","410.000","1129.882"
"R3","TopLayer","720.000","1004.567","270","720.000","1004.567","720.000","1040.000"
"R2","TopLayer","310.000","960.000","270","310.000","960.000","310.000","995.433"
"Q11","TopLayer","1460.000","782.402","180","1460.000","782.402","1511.181","745.000"
"Q10","TopLayer","1135.000","780.000","180","1135.000","780.000","1186.181","742.598"
"Q9","TopLayer","825.000","775.315","180","825.000","775.315","876.181","737.913"
"Q2","TopLayer","1213.661","1760.000","270","1072.323","1850.000","1072.323","1850.000"
"Q1","TopLayer","1213.661","2050.000","270","1072.323","2140.000","1072.323","2140.000"
"P1","TopLayer","85.000","860.000","0","85.000","935.000","85.000","935.000"
"J1","TopLayer","600.000","160.000","180","500.000","160.000","500.000","160.000"
"D3","TopLayer","635.000","995.709","90","635.000","951.417","635.000","951.417"
"D2","TopLayer","390.000","951.142","90","390.000","906.850","390.000","906.850"
"C12","TopLayer","575.000","400.000","90","575.000","400.000","575.000","380.315"
"C11","TopLayer","630.000","400.000","90","630.000","400.000","630.000","380.315"
"C10","TopLayer","550.000","467.559","360","550.000","467.559","530.315","467.559"
"C9","TopLayer","544.409","574.370","270","544.409","574.370","544.409","594.055"
"C2","TopLayer","1600.000","1795.000","90","1600.000","1795.000","1600.000","1757.599"
